Customer_ID,First_Name,Last_Name,Gender,Age,State,Account_Type,Account_Balance,Credit_Score,Email_Opt_In,Has_Loan,Join_Date,Loan_Amount,Business_Type,Transaction_Type,Pay_On_Time,Recent_Transaction_Amount,Transaction_Time,Transaction_Location,Avg_Monthly_Transaction,Device_Type,Account_Age_Years,Risk_Score,Is_Fraudulent
CUST00253,William,Miller,Female,79.0,GA,Credit,45754.32,463.0,True,True,2008-12-20,63964.5,Big,Withdrawal,No,3935.19,2025-06-15 14:35:00,"Los Angeles, CA",7557.02,Web,16.5,0.243,0
CUST00129,Michael,Jones,Other,46.0,GA,Checking,35574.92,755.0,True,False,2005-02-27,0.0,Large,Payment,Yes,784.73,2025-06-15 17:38:00,"San Jose, CA",9774.79,Web,20.4,0.0,0
CUST00462,Patricia,Rodriguez,Female,45.0,NY,Investment,62370.92,613.0,False,False,2000-06-15,0.0,Big,Payment,No,2375.12,2025-06-15 10:22:00,"Los Angeles, CA",4097.29,Web,25.1,0.471,0
CUST00045,Patricia,Miller,Other,32.0,NY,Credit,98048.23,453.0,False,False,2011-05-15,0.0,Big,Deposit,Yes,550.51,2025-06-15 20:23:00,"Philadelphia, PA",768.95,ATM,14.1,0.271,0
CUST00182,Michael,Brown,Female,72.0,IL,Savings,59428.92,782.0,True,False,2010-08-29,0.0,Small,Withdrawal,No,1549.49,2025-06-15 07:39:00,"Los Angeles, CA",3192.39,Web,14.8,0.058,0
CUST00983,James,Johnson,Male,42.0,PA,Credit,91432.23,439.0,True,True,2018-09-20,77721.55,Large,Payment,No,157.38,2025-06-15 11:51:00,"Dallas, TX",7636.02,Mobile,6.8,0.66,0
CUST00936,Jennifer,Miller,Other,40.0,NC,Credit,11399.67,500.0,False,True,2012-03-18,52550.34,Big,Transfer,No,4077.39,2025-06-15 08:08:00,"Dallas, TX",5601.29,Mobile,13.3,0.691,0
CUST00555,Patricia,Miller,Male,39.0,NC,Credit,91042.88,793.0,True,False,2006-09-04,0.0,Small,Withdrawal,Yes,4162.27,2025-06-15 03:28:00,"San Jose, CA",2489.04,Mobile,18.8,0.413,0
CUST00177,Mary,Miller,Other,31.0,IL,Investment,76801.17,409.0,False,False,2015-04-06,0.0,Big,Withdrawal,Yes,2598.08,2025-06-15 18:03:00,"San Jose, CA",9436.63,ATM,10.2,0.27,0
CUST00300,Robert,Davis,Female,49.0,NY,Checking,74450.54,531.0,True,False,2001-05-07,0.0,Large,Purchase,Yes,2009.84,2025-06-15 11:09:00,"Chicago, IL",6328.78,Web,24.2,0.144,0
CUST00923,James,Brown,Other,35.0,FL,Credit,73109.86,533.0,True,False,2005-10-04,0.0,Small,Transfer,Yes,1928.09,2025-06-15 03:59:00,"San Antonio, TX",2931.44,ATM,19.8,0.548,0
CUST00358,William,Miller,Female,77.0,FL,Savings,86712.68,829.0,True,False,2006-09-17,0.0,Small,Withdrawal,Yes,3668.57,2025-06-15 02:43:00,"Dallas, TX",6222.11,ATM,18.8,0.777,1
CUST00238,William,Martinez,Male,50.0,CA,Investment,49592.82,809.0,False,False,2016-11-07,0.0,Large,Purchase,No,1319.63,2025-06-15 04:20:00,"Dallas, TX",2627.12,Web,8.7,0.153,0
CUST00585,Patricia,Smith,Other,30.0,PA,Investment,59767.68,365.0,False,False,2004-02-27,0.0,Large,Deposit,Yes,2576.06,2025-06-15 12:52:00,"New York, NY",7510.41,ATM,21.4,0.605,0
CUST00521,Mary,Rodriguez,Male,67.0,CA,Investment,80417.3,832.0,False,False,2002-06-01,0.0,Small,Payment,No,2977.71,2025-06-15 19:29:00,"San Antonio, TX",4522.02,Web,23.1,0.335,0
CUST00813,Elizabeth,Rodriguez,Male,70.0,IL,Savings,65360.98,632.0,False,True,2012-09-11,48580.44,Large,Transfer,No,2124.74,2025-06-15 12:45:00,"New York, NY",4308.98,ATM,12.8,0.079,0
CUST00602,Jennifer,Martinez,Male,40.0,PA,Savings,4533.23,784.0,True,False,2013-01-09,0.0,Large,Purchase,Yes,621.28,2025-06-15 03:31:00,"New York, NY",448.37,Web,12.5,0.374,0
CUST00527,Michael,Davis,Other,24.0,OH,Investment,87678.87,447.0,False,False,2012-07-31,0.0,Small,Deposit,No,1880.2,2025-06-15 04:06:00,"Dallas, TX",1477.68,Mobile,12.9,0.247,0
CUST00808,Michael,Miller,Male,40.0,NC,Checking,87196.09,828.0,True,True,2013-11-05,46528.24,Large,Deposit,No,3043.52,2025-06-15 16:20:00,"Philadelphia, PA",9137.59,Web,11.7,0.551,0
CUST00939,Mary,Smith,Male,29.0,PA,Checking,60100.89,358.0,False,True,2007-09-29,21343.42,Big,Transfer,Yes,2008.81,2025-06-15 00:49:00,"Philadelphia, PA",2013.33,Web,17.8,0.484,0
CUST00072,Robert,Garcia,Other,19.0,OH,Savings,69796.99,579.0,True,False,2000-07-06,0.0,Small,Purchase,No,2503.29,2025-06-15 13:37:00,"Houston, TX",7836.78,Mobile,25.0,0.251,0
CUST00659,Linda,Brown,Female,40.0,TX,Savings,28405.96,845.0,True,False,2003-09-23,0.0,Large,Deposit,Yes,1480.3,2025-06-15 16:21:00,"Houston, TX",9204.12,ATM,21.8,0.524,0
CUST00731,Linda,Williams,Male,75.0,GA,Savings,18627.34,340.0,True,True,2001-10-23,3614.63,Small,Deposit,No,2319.92,2025-06-15 08:43:00,"Los Angeles, CA",9882.28,Web,23.7,0.102,0
CUST00314,Robert,Johnson,Other,51.0,CA,Checking,24897.82,819.0,False,True,2003-07-20,98688.75,Small,Deposit,No,4126.66,2025-06-15 22:33:00,"San Jose, CA",5581.68,ATM,22.0,0.218,0
CUST00017,James,Johnson,Male,53.0,NC,Checking,75732.41,649.0,True,False,2000-04-25,0.0,Small,Withdrawal,Yes,36.95,2025-06-15 02:21:00,"San Antonio, TX",6715.39,Web,25.2,0.159,0
CUST00717,James,Miller,Female,40.0,NY,Checking,56318.75,674.0,True,True,2009-11-15,44152.89,Big,Purchase,Yes,2369.09,2025-06-15 19:02:00,"Dallas, TX",6198.79,ATM,15.6,0.362,0
CUST00517,Linda,Johnson,Female,59.0,MI,Checking,53073.49,504.0,False,False,2010-03-20,0.0,Small,Purchase,No,4910.68,2025-06-15 03:06:00,"San Diego, CA",2549.64,Web,15.3,0.42,0
CUST00917,Elizabeth,Williams,Male,54.0,TX,Checking,13358.19,742.0,True,False,2015-08-20,0.0,Small,Withdrawal,Yes,1117.65,2025-06-15 21:43:00,"Phoenix, AZ",5137.37,Mobile,9.9,0.395,0
CUST00009,Patricia,Miller,Male,56.0,PA,Credit,1465.83,455.0,True,False,2005-05-24,0.0,Small,Transfer,No,2184.41,2025-06-15 12:02:00,"San Antonio, TX",2483.17,Web,20.1,0.42,0
CUST00111,Elizabeth,Davis,Female,77.0,OH,Savings,13398.38,745.0,False,False,2004-05-08,0.0,Large,Deposit,No,4369.77,2025-06-15 23:51:00,"San Diego, CA",549.7,Mobile,21.2,0.276,0
CUST00236,Linda,Rodriguez,Female,56.0,NC,Savings,16756.4,825.0,True,True,2007-09-04,63139.3,Large,Purchase,Yes,4813.74,2025-06-15 15:11:00,"New York, NY",1010.42,Web,17.8,0.184,0
CUST00379,Patricia,Garcia,Male,36.0,CA,Credit,8783.81,343.0,True,True,2004-11-07,84766.18,Big,Payment,No,4430.78,2025-06-15 18:43:00,"Los Angeles, CA",244.13,Web,20.7,0.379,0
CUST00163,Mary,Williams,Female,40.0,IL,Savings,49125.8,306.0,False,False,2003-08-09,0.0,Large,Withdrawal,No,4637.36,2025-06-15 20:56:00,"Phoenix, AZ",9174.29,Web,21.9,0.555,0
CUST00271,Michael,Jones,Male,75.0,OH,Savings,61533.53,724.0,True,True,2009-07-15,46047.22,Small,Deposit,Yes,172.42,2025-06-15 18:46:00,"San Jose, CA",6608.18,Web,16.0,0.114,0
CUST00693,Michael,Rodriguez,Male,50.0,NC,Savings,85435.56,414.0,True,False,2018-12-07,0.0,Large,Payment,Yes,40.66,2025-06-15 16:19:00,"Dallas, TX",5113.45,ATM,6.6,0.024,0
CUST00549,Jennifer,Davis,Male,75.0,NY,Investment,46784.35,653.0,False,False,2017-05-11,0.0,Small,Transfer,No,42.8,2025-06-15 14:17:00,"Los Angeles, CA",4409.14,Web,8.1,0.345,0
CUST00689,Mary,Rodriguez,Other,29.0,NC,Investment,15977.93,700.0,False,False,2021-12-29,0.0,Large,Payment,No,3820.86,2025-06-15 10:53:00,"Houston, TX",1220.56,Mobile,3.5,0.318,0
CUST00367,John,Garcia,Female,18.0,OH,Checking,88757.3,534.0,False,False,2013-07-27,0.0,Big,Purchase,No,13.37,2025-06-15 10:29:00,"Los Angeles, CA",4438.37,ATM,11.9,0.0,0
CUST00875,Michael,Smith,Male,56.0,PA,Credit,44932.88,728.0,True,True,2009-02-22,36738.93,Big,Transfer,No,1895.16,2025-06-15 16:32:00,"Phoenix, AZ",1944.32,ATM,16.4,0.522,0
CUST00303,James,Garcia,Other,72.0,IL,Credit,60411.78,735.0,True,True,2013-07-29,58223.77,Large,Transfer,Yes,1163.19,2025-06-15 05:19:00,"Houston, TX",9493.54,Web,11.9,0.214,0
CUST00716,Michael,Miller,Other,52.0,MI,Savings,71520.91,372.0,False,False,2013-04-03,0.0,Small,Purchase,Yes,1873.05,2025-06-15 11:34:00,"San Diego, CA",8171.99,Web,12.3,0.267,0
CUST00485,Mary,Jones,Female,40.0,OH,Checking,63931.04,436.0,True,False,2003-02-25,0.0,Large,Payment,Yes,4009.05,2025-06-15 19:54:00,"Houston, TX",9458.32,Web,22.4,0.556,0
CUST00229,Robert,Jones,Male,47.0,NY,Credit,6755.25,530.0,True,False,2007-08-24,0.0,Large,Withdrawal,Yes,4259.77,2025-06-15 12:28:00,"New York, NY",4959.16,Web,17.9,0.48,0
CUST00812,William,Williams,Male,62.0,MI,Checking,2184.03,793.0,True,False,2010-04-22,0.0,Small,Payment,Yes,1678.89,2025-06-15 07:14:00,"San Jose, CA",2444.34,Mobile,15.2,0.283,0
CUST00632,William,Williams,Male,68.0,MI,Credit,33467.49,546.0,True,True,2022-08-17,1154.59,Large,Transfer,No,4837.94,2025-06-15 05:17:00,"San Jose, CA",8127.79,ATM,2.9,0.494,0
CUST00931,Elizabeth,Smith,Other,70.0,IL,Savings,1849.85,848.0,False,True,2015-07-10,16674.57,Small,Transfer,Yes,3090.28,2025-06-15 08:08:00,"Houston, TX",2735.88,ATM,10.0,0.334,0
CUST00358,William,Miller,Female,77.0,FL,Savings,86712.68,829.0,True,False,2006-09-17,0.0,Small,Deposit,No,3862.85,2025-06-15 16:55:00,"San Jose, CA",3387.29,Web,18.8,0.319,0
CUST00001,Patricia,Johnson,Other,56.0,MI,Investment,37736.22,350.0,True,False,2005-04-30,0.0,Small,Purchase,No,4850.23,2025-06-15 05:31:00,"San Diego, CA",8198.94,Web,20.2,0.463,0
CUST00952,Michael,Jones,Female,53.0,NC,Savings,28939.69,653.0,False,False,2003-06-12,0.0,Big,Purchase,No,546.12,2025-06-15 12:25:00,"San Antonio, TX",2737.02,Mobile,22.1,0.117,0
CUST00928,Elizabeth,Smith,Male,32.0,CA,Investment,66197.07,784.0,True,False,2006-07-06,0.0,Small,Transfer,No,2899.07,2025-06-15 07:58:00,"Phoenix, AZ",8030.87,Web,19.0,0.0,0
CUST00608,James,Miller,Other,75.0,TX,Savings,28210.96,753.0,True,False,2016-10-07,0.0,Large,Payment,Yes,3416.87,2025-06-15 03:25:00,"Los Angeles, CA",3941.8,Mobile,8.7,0.0,0
CUST00673,John,Brown,Other,18.0,MI,Investment,47410.03,455.0,False,False,2000-10-21,0.0,Big,Deposit,Yes,3098.54,2025-06-15 03:51:00,"Chicago, IL",8489.46,ATM,24.7,0.423,0
CUST00203,Linda,Rodriguez,Other,40.0,TX,Checking,37984.94,816.0,False,False,2005-10-01,0.0,Big,Payment,Yes,109.42,2025-06-15 00:07:00,"Chicago, IL",3007.57,ATM,19.8,0.359,0
CUST00819,Robert,Jones,Other,75.0,CA,Credit,22134.06,755.0,True,True,2007-01-25,52943.05,Big,Withdrawal,Yes,4693.71,2025-06-15 07:41:00,"Phoenix, AZ",2809.52,ATM,18.4,0.412,0
CUST00722,Patricia,Williams,Male,43.0,IL,Credit,9207.33,764.0,True,False,2016-10-04,0.0,Small,Payment,Yes,4260.84,2025-06-15 15:14:00,"Chicago, IL",831.84,Web,8.7,0.385,0
CUST00362,Michael,Miller,Female,74.0,CA,Savings,19691.7,659.0,True,True,2010-01-22,91798.95,Large,Withdrawal,No,4502.48,2025-06-15 13:20:00,"New York, NY",5447.59,Mobile,15.4,0.0,0
CUST00950,Michael,Davis,Female,75.0,CA,Credit,75267.53,678.0,True,False,2016-07-22,0.0,Small,Transfer,Yes,2176.03,2025-06-15 05:58:00,"Los Angeles, CA",5864.74,ATM,8.9,0.0,0
CUST00362,Michael,Miller,Female,74.0,CA,Savings,19691.7,659.0,True,True,2010-01-22,62929.93,Large,Transfer,Yes,3485.14,2025-06-15 04:50:00,"San Antonio, TX",5944.23,ATM,15.4,0.246,0
CUST00095,John,Williams,Female,71.0,TX,Credit,51214.54,641.0,True,True,2020-04-03,31195.55,Small,Purchase,Yes,4036.29,2025-06-15 10:02:00,"Houston, TX",746.86,Web,5.2,0.211,0
CUST00850,James,Johnson,Female,36.0,NC,Checking,63290.8,383.0,False,False,2014-05-22,0.0,Large,Transfer,Yes,1.73,2025-06-15 21:50:00,"Houston, TX",9850.4,ATM,11.1,0.094,0
CUST00522,Patricia,Brown,Male,42.0,MI,Investment,53886.31,495.0,True,True,2012-01-26,57784.06,Small,Purchase,No,1873.04,2025-06-15 02:09:00,"San Diego, CA",9019.78,Mobile,13.4,0.358,0
CUST00204,Mary,Brown,Female,56.0,NY,Credit,92652.3,766.0,False,False,2010-04-06,0.0,Big,Payment,No,177.86,2025-06-15 16:30:00,"Philadelphia, PA",7417.61,ATM,15.2,0.57,0
CUST00011,Jennifer,Davis,Other,36.0,PA,Savings,69202.27,443.0,False,True,2016-10-25,54927.72,Big,Deposit,No,4260.24,2025-06-15 07:38:00,"Phoenix, AZ",6248.65,Web,8.7,0.357,0
CUST00207,Jennifer,Miller,Female,60.0,CA,Checking,78173.3,552.0,False,True,2010-07-08,42328.87,Small,Purchase,No,2271.21,2025-06-15 20:34:00,"San Diego, CA",7684.1,Web,15.0,0.3,0
CUST00834,Patricia,Rodriguez,Other,78.0,OH,Credit,3036.51,719.0,True,True,2000-01-03,68463.4,Big,Deposit,No,2349.47,2025-06-15 17:31:00,"Los Angeles, CA",5319.74,ATM,25.5,0.106,0
CUST00117,Robert,Miller,Female,62.0,MI,Credit,35479.25,536.0,False,True,2003-05-13,82555.11,Small,Payment,Yes,3239.81,2025-06-15 18:06:00,"Philadelphia, PA",5962.23,Mobile,22.2,0.257,0
CUST00304,James,Davis,Male,21.0,CA,Savings,11515.3,698.0,False,False,2007-07-06,0.0,Big,Payment,Yes,3533.11,2025-06-15 21:02:00,"Philadelphia, PA",3921.54,Mobile,18.0,0.569,0
CUST00155,Linda,Brown,Female,24.0,NC,Credit,1922.42,538.0,True,True,2009-11-16,70778.02,Large,Deposit,No,632.83,2025-06-15 01:00:00,"San Jose, CA",5579.76,Web,15.6,0.031,0
CUST00955,Michael,Johnson,Male,75.0,OH,Credit,76542.57,796.0,True,False,2000-03-08,0.0,Small,Purchase,Yes,12.11,2025-06-15 16:36:00,"Phoenix, AZ",9145.41,Mobile,25.3,0.174,0
CUST00276,Mary,Smith,Other,19.0,NY,Checking,72636.95,309.0,True,False,2020-10-27,0.0,Small,Purchase,No,1826.24,2025-06-15 04:40:00,"Chicago, IL",9281.8,ATM,4.7,0.033,0
CUST00337,Michael,Rodriguez,Other,49.0,CA,Checking,62535.1,587.0,False,False,2009-02-08,0.0,Large,Transfer,No,3814.08,2025-06-15 22:36:00,"Houston, TX",5712.79,Web,16.4,0.463,0
CUST00251,Jennifer,Brown,Male,44.0,MI,Checking,53694.49,637.0,True,False,2006-01-13,0.0,Big,Deposit,Yes,4103.65,2025-06-15 00:28:00,"Phoenix, AZ",2727.75,Mobile,19.5,0.013,0
CUST00200,John,Williams,Female,21.0,CA,Savings,93300.51,359.0,True,False,2004-07-31,0.0,Small,Deposit,No,1978.33,2025-06-15 07:02:00,"San Diego, CA",9667.79,Mobile,20.9,0.3,0
CUST00382,Jennifer,Smith,Male,20.0,IL,Savings,84828.0,720.0,True,True,2007-11-11,98988.91,Big,Deposit,Yes,1092.16,2025-06-15 13:12:00,"Dallas, TX",3376.99,Mobile,17.6,0.266,0
CUST00013,Michael,Martinez,Female,28.0,OH,Investment,75016.08,719.0,False,True,2000-12-30,86239.39,Large,Payment,Yes,2820.69,2025-06-15 04:07:00,"San Diego, CA",9025.59,ATM,24.5,0.278,0
CUST00796,Mary,Johnson,Female,64.0,NY,Investment,48142.29,348.0,False,False,2010-02-17,0.0,Small,Transfer,No,3600.52,2025-06-15 13:45:00,"New York, NY",2950.22,Web,15.4,0.285,0
CUST00153,John,Brown,Female,58.0,CA,Investment,84247.17,789.0,False,True,2010-05-24,17647.42,Large,Transfer,Yes,3326.56,2025-06-15 02:17:00,"Philadelphia, PA",2249.2,Web,15.1,0.387,0
CUST00810,James,Williams,Other,74.0,FL,Investment,4461.8,340.0,True,False,2013-09-03,0.0,Large,Purchase,Yes,2275.32,2025-06-15 14:51:00,"Houston, TX",6395.46,Mobile,11.8,0.563,0
CUST00321,Mary,Brown,Other,26.0,MI,Checking,22087.71,522.0,False,False,2022-06-13,0.0,Large,Withdrawal,No,1882.82,2025-06-15 08:41:00,"Dallas, TX",7562.78,ATM,3.1,0.203,0
CUST00857,Mary,Smith,Other,34.0,MI,Credit,40561.58,380.0,False,False,2014-08-05,0.0,Large,Payment,Yes,3113.98,2025-06-15 04:14:00,"San Diego, CA",8664.67,Mobile,10.9,0.458,0
CUST00139,John,Garcia,Male,25.0,TX,Checking,89974.77,748.0,False,True,2012-12-11,67187.43,Big,Deposit,No,4354.57,2025-06-15 10:15:00,"San Antonio, TX",5691.09,Mobile,12.6,0.268,0
CUST00451,Michael,Garcia,Male,50.0,GA,Checking,39725.27,835.0,False,True,2014-07-16,78484.06,Large,Transfer,Yes,257.66,2025-06-15 15:02:00,"Dallas, TX",5022.69,Web,11.0,0.412,0
CUST00529,William,Davis,Female,53.0,NC,Savings,46248.09,498.0,False,True,2019-12-18,6919.24,Small,Deposit,Yes,950.54,2025-06-15 07:48:00,"New York, NY",4718.26,Mobile,5.5,0.077,0
CUST00710,Robert,Garcia,Other,48.0,MI,Savings,31264.0,725.0,True,False,2007-04-22,0.0,Large,Transfer,No,109.71,2025-06-15 04:15:00,"Chicago, IL",3465.26,Mobile,18.2,0.208,0
CUST00549,Jennifer,Davis,Male,75.0,NY,Investment,46784.35,653.0,False,False,2017-05-11,0.0,Big,Payment,Yes,960.58,2025-06-15 16:49:00,"Philadelphia, PA",2630.87,Mobile,8.1,0.193,0
CUST00223,Jennifer,Davis,Female,23.0,PA,Savings,54024.13,658.0,True,True,2008-11-01,18512.24,Big,Withdrawal,Yes,4034.85,2025-06-15 02:00:00,"Chicago, IL",8757.54,Web,16.7,0.493,0
CUST00196,James,Williams,Other,66.0,GA,Credit,10759.26,689.0,False,False,2000-08-22,0.0,Large,Purchase,No,1330.0,2025-06-15 11:46:00,"Los Angeles, CA",9989.33,ATM,24.9,0.19,0
CUST00176,John,Williams,Male,64.0,CA,Investment,70752.29,394.0,False,True,2013-08-08,58804.23,Large,Transfer,Yes,1479.49,2025-06-15 08:34:00,"Phoenix, AZ",2112.2,Web,11.9,0.213,0
CUST00635,James,Williams,Female,74.0,IL,Credit,10672.83,652.0,False,False,2002-05-09,0.0,Large,Withdrawal,No,4949.97,2025-06-15 11:58:00,"Philadelphia, PA",5616.4,Mobile,23.2,0.357,0
CUST00115,Mary,Smith,Female,38.0,OH,Savings,3144.17,814.0,False,False,2018-09-29,0.0,Large,Payment,Yes,2881.64,2025-06-15 01:47:00,"Phoenix, AZ",6923.04,Mobile,6.8,0.325,0
CUST00721,James,Martinez,Male,46.0,FL,Credit,20449.75,736.0,False,False,2007-02-04,0.0,Large,Withdrawal,Yes,2781.94,2025-06-15 23:16:00,"San Antonio, TX",4497.89,ATM,18.4,0.0,0
CUST00463,Michael,Smith,Male,47.0,CA,Credit,47476.31,416.0,False,True,2001-05-23,49412.82,Large,Payment,Yes,4945.56,2025-06-15 22:36:00,"Houston, TX",2509.25,Mobile,24.1,0.237,0
CUST00505,Mary,Miller,Other,59.0,NC,Credit,42234.09,487.0,False,True,2006-02-18,93470.95,Small,Deposit,Yes,1343.35,2025-06-15 20:08:00,"Dallas, TX",3411.96,Mobile,19.4,0.33,0
CUST00504,Mary,Brown,Male,44.0,CA,Investment,11616.67,663.0,False,False,2014-06-23,0.0,Small,Deposit,Yes,3014.86,2025-06-15 00:11:00,"Philadelphia, PA",2040.55,Mobile,11.0,0.196,0
CUST00370,James,Rodriguez,Male,29.0,TX,Investment,80550.97,765.0,False,False,2003-01-10,0.0,Large,Payment,Yes,3812.16,2025-06-15 21:08:00,"Dallas, TX",9070.94,ATM,22.5,0.206,0
